No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1055	momirau	membelok	to turn (rt. or lt.)	pirau
1056	kumoili	menoleh	to turn around, about face	koili
1057	mangada'	mengelakkan	to avoid	ada'
1058	moningkod	bertobat	to stop doing bad	tingkod
1059	tumingkod	letak jawatan	stop joining, working	tingkod
1060	tumoron	berhenti	stop walking	toron
1061	mongoi odop	pergi tidur	to go to bed	odop
1062	mondudu'	mengantuk	sleepy	dudu'
1063	modop	tidur	to sleep	odop
1064	moginipi'	bermimpi	to dream	inipi'
1065	mogompuang	mengigau	to talk in sleep	ompuang
1066	moninggorok	mendengkur	to snore	gorok
1067	odop manuk	tidur ayam	half asleep	odop
1068	majagaan	ketiduran	to oversleep	jaga'
1069	modop molobong, mobolong odop	tidur nyenyak	to sleep soundly	odop
1070	monudau	membangunkan	to waken, arouse	tudau
1071	tumudau intad bolong odop	bangun	to wake up, awake (from sound sleep)	tudau
1072	mingkakat, tumungag	bangun	to get up, rise	ingkakat, tungag
1073	nokoodop	tertidur	to fall asleep	odop
1074	mamalik	membalik	to turn over	balik
1075	moningaub	membalik bahagian atas ke bawah	to turn upside down	tinggaub
1076	undorong	istirahat	rest	
1077	motos	tenang	to be quiet	otos
1078	mogindad	menunggu	to wait (for)	indad
1079	tumoron	berhenti	to stop	toron
1080	tumoron mamanau	berhenti berjalan	to stop walking	toron
1081	mundorong	beristirahat	to get rest	undorong
1082	mananda'	membuat	to make, do	tanda'
1083	karaja'	pekerjaan	work	
1084	mangaraja'	bekerja	to work	karaja'
1085	kinaraja'	tugas	task	karaja'
1086	magagau	sibuk	busy	gagau
1087	mugad, mongoi	pergi	to go	ugad, ongoi
1088	rumikot	tiba, sampai	to arrive	rikot
1089	sumuon, sumuang	masuk	to enter, go in	suon, suang
1090	gumuli', popoguli'	balik, kembali	to return	guli'
1091	momutar, momulas	memutar	to turn	putar, pulas
1092	lumiput	berkeliling	to go around	liput
1093	popoliput gumuli'	memutar kembali, berbalik	to turn around, back	liput
1094	sumimpang	menyimpang	to swerve	simpang
1095	mangada'	meloncat ke sisi	to dodge	ada'
1096	mingguguli'	hilir mudik	to and fro	guli'
1097	mingguli-guli'	pulang balik	to and fro	guli'
1098	mangantos	memintas	to take a short cut	antos
1099	tumalib	melewati	to go past	talib
1100	sumoborong	menyeberang	to go across	soborong
1101	mapalid	tersesat, kesasar	to be lost	palid
1102	mogimpanau	mengembara	to wander	panau
1103	lumabus	melepaskan diri	to escape	labus
1104	mogidu'	melarikan diri	to run away	idu'
