No.	TATANA	B. MELAYU / B. INDO	ENGLISH	KATA DASAR (TATANA)? - \r
1960	tukad	tangga	ladder, stairs	
1961	palan (baloi)	rangka	framework	
1962	bata'	batu bata	brick	
1963	taap batu	genting	roof tile	
1964	batu bolinsoulinsou	batu kerikil	gravel	
1965	agis	pasir	sand	
1966	simin	simen	cement	
1967	tutuan	lepa, adukan pelester	mortar	
1968	pomogiuran do simin	pengadukan simen	cement mixer	giur
1969	taap	atap	roof	
1970	mamaku'	memaku	to nail	paku'
1971	monidong	membangun, mendirikan	to build	tidong
1972	pakakaraja'	pekerja	worker	karaja'
1973	gaji'	gaji	wages, salary	
1974	kainsawatan gaji'	kenaikan gaji	pay rise	sawat
1975	mamamagaji'	majikan	employer	gaji'
1976	kilang	kilang	factory	
1977	mananamba'	pembantu	domestic help	tamba
1978	udipon	hamba	slave	
1979	gugumaji'	pekerja	employee	gaji'
1980	gugumaji' do parinta	pegawai kerajaan	government officer	gaji'
1981	mandor	mandor	overseer	
1982	pamagaji'	upah	wages	gaji'
1983	ulun koiso pagajian	penganggur	unemployed person	gaji'
1984	Kasatuan pakakaraja'	Kesatuan sekerja	Trade/labor union	karaja'
1985	manyiwa'	menggaji, mengupah	to hire	siwa'
1986	mapapapanau	pemandu (kereta), drebar	driver	panau
1987	poniagaan	perusahaan, perniagaan	business	niaga'
1988	mopotingkod	memecat	to fire	tingkod
1989	mopokaraja'	mempekerjakan	to employ	karaja'
1990	lumogos, popologos do karaja'	mogok	to strike	logos
1991	rumasakit	rumahsakit	hospital	sakit
1992	kalinik	klinik	clinic	
1993	mongoi do duktur	pergi ke doktor	to see the doctor	ongoi
1994	panyakit, moduol	penyakit	sickness	sakit, duol
1995	mopobonsoi do moduol	menyembuhkan	to cure	bonsoi
1996	ubat pil	pil	pill	
1997	ubat	ubat	medicine	
1998	makan do ubat	minum ubat	to take medicine	
1999	mangasu, mangubati	mengubati	to treat	asu, ubat
2000	mamajarum	menyuntik	to inject	jarum
2001	pilat	luka	wound	
2002	pomomolopot do pilat	pembalut	bandage	lopot
2003	ubat ria'	ubat merah	mercurochrome	
2004	sumuang do rumasakit	masuk rumahsakit	to be hospitalized	suang
2005	sumibonsoi	sembuh	to recover	bonsoi
2006	panataan	pembedahan	operation	tata'
2007	mananata'	doktor bedah	surgeon	tata'
2008	duktur	doktor	doctor	
2009	duktur dipon	doktor gigi	dentist	
2010	duktur anak	doktor anak	pediatrician	
2011	duktur nu koduduo'	doktor jiwa	psychiatrist	
2012	monongkopandai do ubat	ahli ubat	pharmacist	
2013	doriso, dorisa	jururawat lelaki	paramedic/dresser	
2014	pongkuyut	bidan	midwife	
2015	noos	jururawat	nurse	
2016	ubat-ubatan	ubat-ubatan	drugs	
2017	dukun	dukun	witch doctor, medicine man	
2018	ambulan, imbulon	ambulans	ambulance	
2019	pananggungan, pangakatan	usungan	stretcher	tanggung, kakat
2020	kasiatan rayat	kesihatan rakyat	public health	
2021	pogilayan	gejala	symptom	ilai'
2022	mangatawan do panyakit	mengenal penyakit	to diagnose a disease	tawan
2023	koponontudukan	resep	prescription	tuduk
2024	ulun sumakit	pasien	patient	sakit
2025	tukang-tukangan	pertukangan	handicraft	
2026	mongukir do tataun	mengukir kayu	to carve wood	ukir
2027	barang pacah balah	barang pecah-belah	pottery	
2028	puputan	tempat pembakaran	kiln	
2029	pokakabun	tukang kebun	gardener	kabun
2030	lulumayag	pelaut	sailor, seaman	layag
2031	tukang tulis, monyunyurat	setiausaha	secretary	tulis, surat
2032	boniaga'	berdagang, berniaga	to trade	niaga'
2033	poniaga', badadagang	pedagang	trader	niaga', dagang
2034	ulun poniaga	pengusaha, saudagar	businessman	niaga'
2035	monsusupu'	tukang besi	blacksmith	supu'
2036	tukang amas	tukang emas	goldsmith	
2037	mata-mata	anggota polis	policeman	
2038	tukang masak	jurumasak	cook, chef	
2039	karani' beng	kerani bank	bank clerk	
2040	tukang gunting	tukang cukur	barber, hairdresser	
2041	mangapandai do pagun	ahli ilmu alam	scientist	pandai
2042	mongingira'	guru, cikgu	teacher	kira
2043	soljar, soujar	asykar, anggota tentera	soldier	
2044	jaga' kadai	perkedaian	shopkeeping	jaga'
2045	jujumaga' kadai	pekedai	shopkeeper	jaga'
2046	imbaan, katalunan	kehutanan, perhutanan	forestry	
2047	bengkel	bengkel	shop, workshop	
2048	mananaajo do injin	mekanik	mechanic	taajo
2049	paado, padiri	pendita	pastor, priest	
2050	mananaip	penaip	typist	taip
2051	momombisara'	hakim	judge	bisara'
2052	mandadawa'	pendakwa raya, jaksa	public prosecutor	dawa'
2053	tukang jaam	tukang jam	watch repairman	
2054	tukang dipon / gigi	tukang gigi	dental technician	
2055	tukang kasut	tukang kasut	shoemaker	
2056	tukang ruti'	tukang roti	baker	
2057	tukang popoabar	wartawan	journalist	abar
2058	momomorinting	pencetak	printer	porinting
2059	ulun nu kobubuukan	ahli perpustakaan	librarian	buuk
2060	bilod batang, puun bilod	padi	rice plant	
2061	bilod, bua' bilod	gabah	unhulled, unhusked rice	
2062	bagas	beras	hulled, husked rice	
2063	kanon	nasi	cooked rice	
2064	monuung, mongomot	memotong, menuai padi	to harvest rice	tuung, omot
2065	mopalapos, mongagik	mengirik	to thresh rice	lapos, agik
2066	monutu do bilod	menumbuk padi	to pound rice	tutu
2067	angkob	lumbung	rice barn	
2068	tutuan	lesung	mortar	tutu
2069	tutu	alu	pestle	tutu
2070	mangatap, monyiri	menampi beras	to winnow rice	atap, siri
2071	dodok	dedak	bran	
2072	lilibu	nyiru	winnowing tray	
2073	magansak	menanak	to cook rice	ansak
2074	montuug do bilod	menjemur padi	to dry rice in the sun	tuug
2075	lakatan	pulut, ketan	sticky rice	
2076	lanjang	periuk	pot for cooking rice	
2077	mongukus	mengukus	to steam	kukus
2078	mantanok	merebus	to boil	tanok
2079	dodok	tepung beras	rice flour	
2080	natok	sagu	sago	
2081	pinantung	sagu cooked	cooked sago	pantung
2082	kinubol	sagu buluh	sago cooked in bamboo	
2083	tumpi	sagu bakar	baked sago	
2084	bubur pinantung	papeda	sago porridge	pantung
2085	mamalu	menonok	to pound (sago)	palu
2086	papalu	penonok	pounder	palu
2087	ansi	rumbio	core (of sago palm)	
2088	natok	pati	sago flour	
2089	mangayak	menganyak	to sift (sago flour)	ayak
2090	pangayakan	saringan, tapisan	strainer	ayak
2091	supit, susungkil	senduk sagu	sago spoon	
2092	natok, lipog	papeda yang merah	uncooked sago	
2093	mamantung	mengolah sagu	to cook sago	pantung
2094	kalumpang	loyang kayu	wooden baking dish	
2095	kukuar	pengaduk	stirring spoon	kuar
2096	manguar	mengaduk	to stir	kuar
2097	naansak	dimasak	cooked	ansak
2098	magansak, monsudu	memasak	to cook	ansak, sudu
2099	mopalasu	memanaskan	to heat	lasu
2100	gumolok	mendidih	to boil (intr.)	golok
2101	mantanok, mopogolok	merebus	to boil (tr.)	tanok, golok
2102	mansalag	memanggang	to broil, roast, bake in fire	salag
2103	momolugu	membakar	to bake, to roast	lugu
2104	momoguring	menggoreng	to fry	guring
2105	umau pomoguring	minyak goreng	frying oil	guring
2106	mantiga'	mentega	butter	
2107	mongukus	mengukus	to steam	kukus
2108	magabug	merendam	to soak	abug
2109	mogiib	menuang	to pour out	iib
2110	monotok	mencencang	to chop	totok
2111	momogoul, mopogaul	mencampur	to mix	gaul, goul
2112	mongusau	mengaduk	to stir	kusau
2113	momboug do kana'	membersihkan ikan	to clean fish	boug, baug
2114	moposodia'	mempersiapkan	to prepare	sodia'
2115	monginsisi'	menyisiki	to remove scales	insisi'
2116	mangasap	mengasapi	to smoke over a fire	asap
2117	mopogolok do timug	memasak air	to boil water	golok
2118	mogingkulit	mengupas	to peel, remove husk	kulit
2119	mantuug	menjemur	to dry in the sun	tuug
2120	mongikis	mengikis	to scrape (e.g., carrots)	kikis
2121	mangarib	memotong	to cut up	arib
2122	mamagarus	memarut	to grate (e.g., coconut)	garus
2123	momikis	menaburkan	to scatter, sprinkle	bikis
2124	monyinsib	mengiris	to slice	sinsib
2125	monutu	menumbuk	to pound	tutu
2126	popobalad	melumurkan	to spread, smear	balad
2127	tandaan	bahan	ingredient	tanda'
2128	aturan	resepi makanan	recipe	
2129	koponontudukan	keterangan	directions	tuduk
2130	apui	api	fire	
2131	suduon	kayu bakar	firewood	sudu
2132	polopou	arang	charcoal	
2133	sinimbula	nyala	flame	simbula
2134	mamasi do apui	menyalakan api	to light a fire	pasi, apui
2135	popou	bara	glowing coal	
2136	batu apui	batu api	flint	
2137	sumongkilab	berkobar	to flame up	songkilab
2138	momolugu	membakar	to burn, bake	lugu
2139	kumagut	meretih	to crackle	kagut
2140	nosorob, nakakagut	terbakar hangus	charred	sorob, kagut
2141	abu	abu	ashes	
2142	lisun	asap	smoke	
2143	mongiop	mengipas	to fan (fire)	kiop
2144	papaasap	mengusir dengan asap	to smoke out	asap
2145	nogumpu, nolugu	terbakar	to catch on fire	umpu, lugu
2146	momisok	memadamkan	to put out (fire)	pisok
2147	kinopisakan	api mati, api padam	dead fire	pisok
2148	bunga apui	bunga api	spark	
2149	porumpud, pumpud	puntung berasap	smoldering block	
2150	ponidip	macis, korek api	match	
2151	ponitik	macis	matches (village-made)	
2152	apui pindarangan	api unggun	camp fire	
2153	pilasut	kompor	kerosene burner	
2154	sumbu'	sumbu	wick	
2155	umau gas	minyak tanah	kerosene	
2156	dapuan, karan	keran, perapian, anglo	brazier, portable stove	
2157	nyala	cahaya	light	
2158	dian	lilin	candle	
2159	pansasalagan	pemanggangan	roasting rack	salag
2160	lanjang	periuk	cooking pot	
2161	tiko	teko	teapot	
2162	kitil	cerek	kettle	
2163	sangkir	cangkir	cup	
2164	pagadangan	cangkir takaran	measuring cup	
2165	mangkuk	mangkuk	bowl	
2166	galas	gelas	glass (container)	
2167	kuron	loyang	baking pan	
2168	poriuk	panci	metal pan, pot	
2169	poriuk, pomoguringan	kuali, penggorengan	frying pan	guring
2170	piring	piring	plate	
2171	susudu	sudu, senduk	spoon	sudu
2172	susudu gayo	sudu makan	tablespoon	sudu
2173	susudu nini'	camca, sudu teh	teaspoon	sudu
2174	garapu	garpu	fork	
2175	pisau	pisau	knife	
2176	sasanduk	senduk	ladle, big spoon	
2177	julang, talam	talam, dulang	tray	
2178	ipang	tempayan	jar (big mouth)	
2179	dapu'		jar (small mouth)	
2180	sasagawan	kendi	water pitcher	
2181	butul	botol	bottle	
2182	gayung	pencedok, gayung	dipper	
2183	tutub	penutup	lid	
2184	gampatan	talenan, papan pengiris	chopping board	
2185	bisin	besen, baskum	basin	
2186	balanga	belanga	clay cooking pot	
2187	kawa'	wajan, kuali besar	large frying pan	
2188	kolumpang	lumpang, lesung	mortar	
2189	ponunusuk	sujen, penusuk	skewer	susuk
2190	tutuan rampa	cobek	bowl for grinding spices	tutu
2191	kinsaran	kisaran	grinder (spices)	
2192	ponginsaran	penggiling	grinder (meat)	kinsaran
2193	sasakan	sup	soup	
2194	kanon	nasi	cooked rice	
2195	tinimbu, lamban	ketupat	rice steamed in basket of coconut leaves	timbu
2196	kanon linopot	lontong	cooked rice wrapped in banana leaf	
2197	kanon guring	nasi goreng	fried rice	
2198	kanon silou	nasi kuning	yellow rice	
2199	lakatan	pulut, ketan	sticky rice	
2200	tinapung	lemper	steamed sticky rice with meat (wrapped in banana leaf)	
2201	gandum, jagung	jagung	corn	
2202	natok	sagu	sago	
2203	kinubol	sagu buluh	sago cooked in bamboo	
2204	tumpi	sagu bakar	baked sago	
2205	bubur pinantung	papeda	sago porridge	pantung
2206	ruti'	roti	bread	
2207	kana kala'	ikan asin	salty fish	
2208	taupu	tauhu	tofu (bean curd)	
2209	taupu	tempe	fermented soybean cake	
2210	sati	sate, satih	satay	
2211	rinapa'	gulai	curry soup	rapa'
2212	bakari	rendang	spicy meat and coconut dish	kari
2213	lumpi	lumpia	spring roll / pastry filled with meat/veg	
2214	sinambal	gado-gado	vegetable salad with peanut sauce	sambal
2215	sambal	acar	pickles (with vinegar)	
2216	sutu	soto	meat soup	
2217	korupuk	keropok	crackers / chips	
2218	linugu do kana'	ikan bakar	grilled fish	lugu
2219	binulugu do ansi kana'	bakso (?)	fishballs (lit: pounded fish meat)	lugu
2220	kuui	kuih	cake, snack	
2221	dinawar	acar	pickled fish	
2222	lunok rinapa', sasakan	kuah	sauce, gravy	rapa'
2223	bubur	bubur	cooked cereal, porridge	
2224	mi guring	mi goreng	fried noodles	
2225	kupi'	kopi	coffee	
2226	gula-gula'	gula-gula	candy, sweets	
2227	manuk panggang	opor ayam	seasoned baked chicken	
2228	dudungu' guring	pisang goreng	fried banana	
2229	dadar	dadar	omelet	
2230	minirusod do kana'	lauk-pauk	side dishes (to accompany rice)	rusod
2231	usi'	garam	salt	
2232	lado kabun	lada, merica	pepper	
2233	gula' purak	gula pasir	white sugar	
2234	gula' malaka/maria'	gula merah	brown sugar	
2235	sagumau	serai	lemon grass	
2236	umau	minyak	oil	
2237	suka	cuka	vinegar	
2238	paa	madu	honey	
2239	kisap amis	kicap manis	sweet soy sauce	
2240	kisap asin	kicap asin	salty soy sauce	
2241	lado podos	cili, lombok, cabai	red pepper (chilli and cayenne)	
2242	layo	halia	ginger	
2243	ambawang	bawang	onion	
2244	katumbar	ketumbar	coriander	
2245	ambawang purak	bawang putih	garlic	
2246	kulit ipun, mumuk ipun	belacan, terasi	shrimp paste	
2247	onsom jawa	asam	tamarind	
2248	gintan puti	jintan putih	cumin	
2249	gintan hitam	jintan hitam	caraway seeds	
2250	kayu manis	kayu manis	cinnamon	
2251	kamiri	kemiri	candlenut	
2252	kunyit	kunyit, kunir	turmeric, saffron	
2253	paala	pala	nutmeg	
2254	bunga cangki	cengkih	clove	
2255	sasad	ragi	yeast	
2256	tangkai lado	cabai rawit	cayenne pepper / bird's eye chili	
2257	betsin	vet sin	monosodium glutamate (MSG)	
2258	santan	santan	coconut milk	
2259	linsou adas	biji adas	anise	
2260	kamangi	kemangi	basil	
2261	kari, rampa	kari	curry	
2262	mustad	bijisawi	mustard	
2263	langkuas	lengkuas	alpinia, greater galanga	
2264	mangakan	makan	to eat	akan
2265	manyapa'	mengunyah	to chew	sapa'
2266	mokogulon	tercekik	to choke	gulon
2267	naasug	kenyang	full	asug
2268	louson	lapar	hungry	
2269	monongiwog	haus	thirsty	iwog
2270	kalaan	candu akan	appetite	kala'
2271	monginum	minum	to drink	inum
2272	makanan	makanan	meal	akan
2273	makan monini'	makanan ringan	snack	
2274	modoot	lahap	glutton	doot
2275	dawa' makan	nafsu makan	appetite	
2276	monolon	menelan	to swallow	tolon
2277	monyumad	memberi makan	to feed	sumad
2278	mongirup, monosop, monyiop	menghirup, menghisap	to sip, suck	irup, sosop, (a)siop?
2279	roso	rasa	taste	
2280	mogidang	menghidangkan	to serve, dish out	idang
2281	momoroso	mencicipi	to taste	roso
2282	makan mosuab	sarapan, makan pagi	breakfast	akan
2283	makan tangadou	makan tengahari	lunch	akan
2284	makan morondom	makan malam	evening meal	akan
2285	mongirup	minum dengan rakus	to guzzle	irup
2286	mongingoi'	menghabiskan	to eat up	oi', ai'
2287	mongokot	menggigit	to bite, nibble	kokot
2288	makan basar	pesta, makan besar	feast	akan
2289	idang	hidangan	serving	
2290	naalu-alu	sisanya	leftovers	alu
2291	ringkat	sajian	dish, food	
2292	moroso, sadap	sedap, enak, lazat	delicious	roso
2293	maamis	manis	sweet	amis
2294	maasin	asin	salty	asin
2295	kiumau	berminyak	oily	umau
2296	moonsom	asam	sour	onsom
2297	mopait	pahit	bitter	pait
2298	mopodos	pedas	hot (spicy)	podos
2299	naansak	masak	ripe / cooked	ansak
2300	nobuntung	busuk	rotten, spoiled	buntung
2301	malanut	liat	tough (meat)	lanut
2302	malami', matapu	empuk	tender	lami', tapu
2303	ganggarung	garing	crunchy, crisp	
2304	satanga masak	setengah masak	rare (meat) / half-cooked	
2305	maanau, koiso roso	tawar, hambar	tasteless, flat	
2306	roso	rasa	taste	
2307	nounos	berlapuk, apak	stale, musty, mouldy	unos
2308	kiowou do lisun	berasa asap	smoky	owou, lisun
2309	sumaga', umaso	menyukai, menikmati	to enjoy, relish	saga', aso
2310	mopolombon	mengemukkan	rich, fattening	lombon
2311	maparot	tengik, perat	rancid	parot
2312	sigup	tembakau, sigup	tobacco	
2313	sigirit, sogirit	rokok	cigarette	
2314	monyigup	merokok	to smoke	sigup
2315	porumpud	puntung rokok	cigarette butt	
2316	sigupan	paip	pipe	
2317	monyiop	menghisap	to inhale / to smoke	siop
2318	kirai karatas	kertas rokok	cigarette paper	
2319	popoambus do lisun	mengepulkan asap	to blow smoke	ambus
2320	sugi	sugi	tobacco quid	
2321	surut	cerut	cigar	
2322	pinang	pinang	areca palm	
2323	apug	kapur	lime (mineral)	
2324	daing, puun daing	sirih	betel plant	
2325	daun daing	daun sirih	betel leaf	
2326	buah pinang	buah pinang	areca nut	
2327	moginggat	makan sirih	to chew betel nut	inggat
2328	tuak	tuak	palm wine	
2329	bir	bir	beer	
2330	arak anggur	wine	wine	
2331	sasad	ragi	yeast	
2332	naauk	mabuk	drunk	
2333	waris-waris	sanak saudara, sanak keluarga	relatives	
2334	paganakan	keluarga	family	anak
2335	turunan	keturunan	descendant	
2336	kusoi	lelaki, laki-laki	male	
2337	andu'	wanita, perempuan	female	
2338	motuo	tua	old	tuo
2339	momulok	muda	young	mulok
2340	pogingkurangan do kaanakan	perancangan keluarga	family planning	kurang, anak
2341	ina'	emak, ibu	mother	
2342	ama'	bapa, ayah	father	
2343	motutuo, ina' ama'	orang tua	parents	tuo (motutuo)
2344	mamaganak	mengasuh anak	to raise children	anak
2345	komotutuaan	nenek moyang	ancestors	tuo
2346	atud do andu	moyang perempuan	great-grandmother	atud
2347	atud do kusoi	moyang laki-laki	great-grandfather	atud
2348	adu'	nenek	grandmother	
2349	aki	datuk	grandfather	
2350	maman	pakcik, bapa saudara	uncle	
2351	sulod ama' momulok, maman	bapa cik, bapa muda	father's younger brother	
2352	minan	makcik, mak saudara	aunt	
2353	minan upus, minan momulok	makcik, mak muda	mother's younger sister	
2354	iwan do andu'	ibu mertua	mother-in-law	iwan
2355	iwan do kusoi	bapa mertua	father-in-law	iwan
2356	boisan	besan	relationship of parents whose children are married to each other	
2357	along	ipar perempuan	sister-in-law (for man), sister- or brother-in-law (for woman)	
2358	gasi'	ipar laki-laki	brother-in-law (for man)	
2359	anak mongiwan do andu'	menantu perempuan	daughter-in-law	iwan
2360	anak mongiwan do kusoi	menantu laki-laki	son-in-law	iwan
2361	aka' do kusoi, abang	abang	older brother	aka'
2362	sulod momulok	adik laki-laki	younger brother	
2363	aka' do andu'	kakak	older sister	aka'
2364	sulod momulok do andu'	adik perempuan	younger sister	
2365	pinsan/sulod do kusoi	saudara laki-laki	brother / male cousin	
2366	pinsan/sulod do andu'	saudara perempuan	sister / female cousin	
2367	sopinsan koinsan	saudara sepupu	(first) cousin	
2368	anak	anak	child	
2369	anak motuo	anak sulung	oldest child	tuo
2370	anak upus	anak bongsu	youngest child	upus
2371	anak ragang	bayi	baby (lit: red child)	
2372	anak kampang	anak tak sah	illegitimate child	
2373	anak koasi-asi	anak yatim-piatu	orphan	
2374	lalangai	anak muda	young child	
2375	langai-langai	remaja	adolescent	
2376	milaalangai	pemuda	teenage boy	langai
2377	misusumandak	pemudi	teenage girl	sumandak
2378	motutuo	dewasa	adult	tuo
2379	kamanakon do andu'	kemanakan perempuan	niece	anak
2380	kamanakon do kusoi	kemanakan laki-laki	nephew	anak
2381	muaki'	cucu (dari datuk)	grandchild (of grandfather)	aki'
2382	muadu'	cucu (dari nenek)	grandchild (of grandmother)	adu'
2383	sawo andu'	isteri, bini	wife	sawo
2384	sawo kusoi	suami, laki	husband	sawo
2385	kumawin	menikah, kahwin	to marry	kawin
2386	nokopiada'	bercerai	divorced	ada'
2387	kusoi puod	duda, balu	widower	puod
2388	andu' puod	janda, balu	widow	puod
2389	aku	saya	I	
2390	okou	engkau, kamu	you (sg.)	
2391	isio	dia	he, she	
2392	takau	kita	we (inclusive)	
2393	akai	kami	we (exclusive)	
2394	ikito	kita berdua	we two (inclusive)	
2395	isiro	mereka	they	
2396	kosulodo' kau ngoi'	saudara-saudara, saudara sekalian	you (pl. formal)	
2397	akau	kamu sekalian	you (pl. familiar)	
2398	i aki, i adu'	beliau	he, she (respectful/elder)	aki, adu
2399	kampung	kampung, desa	village	
2400	kuta'	bandar	city	
2401	kokompungan	daerah kecil	subdistrict	kampung
2402	pagun	daerah	district	
2403	ianan	wilayah	region, province	
2404	pomogunan	negara	country	pagun
2405	nogiri'	negeri	state	
2406	dangan mamagun	rumahtangga	household	
2407	timpan	tetangga	neighbor	
2408	koisaan sotimpan	rukun tetangga	neighborhood association	iso, timpan
2409	ulun kirogo	orang penting	important person	
2410	rasmi	rasmi	official	
2411	kaa rasmi	tidak rasmi	unofficial	
2412	kogumuan nu ulun	orang ramai	people, public	gumu'
2413	raja'	raja	king	
2414	mahkuta	mahkota	crown	
2415	porosidin	presiden	president	
2416	gobonor	gabenur	governor	
2417	pagawai nu pagun	pegawai daerah	district officer	pagun
2418	numbur dua nu pagawai	penolong pegawai daerah	assistant district officer	
2419	orang tua', ketua kampung	ketua kampung	village chief	
2420	komontirian, mintiri-mintiri	kementerian	ministry	montiri
2421	montiri	menteri	minister	
2422	kotua upis	ketua pejabat	office head	
2423	gugumaji', pagawai	pegawai	official (person)	gaji'
2424	kapala' pangadat	kepala adat, kepala suku	tribal chief	
2425	bansa'	bangsa	nation / race	
2426	pulitik	politik	politics	
2427	nitib sip	ketua anak negeri	native chief	
2428	montiri basar	perdana menteri	prime minister	
2429	undang-undang	undang-undang / dasar	constitution / law	
2430	porinta	kerajaan	government	
2431	pomilian boundi	pilihanraya	election	pili'
2432	lumawan do parinta	revolusi	revolution	lawan
2433	komardikaan	kemerdekaan	freedom / independence	
2434	pajak	cukai, pajak	taxes	
2435	bandira	bendera	flag	
2436	tanah air	tanah air	homeland	
2437	suku bansa'	suku bangsa	ethnic group, tribe	
2438	tinimungon	kelompok, golongan	group	timung
2439	kaum	kaum	clan	
2440	bansa'	bangsa	race, nation	
2441	ulun pandatang	orang asing	foreigner	
2442	barasal intad	berasal dari	to originate from	
2443	kabangsaan	kebangsaan	nationality	
2444	warga negara	warganegara	citizen	
2445	bansa' nu Kadayan	suku kaum Kadazan	Kadazan ethnic group	
2446	bansa' nu Bayou	suku kaum Bajau	Bajau ethnic group	
2447	kopomoramaiian	hiburan	entertainment	ramai
2448	karamaian	rekreasi	recreation / party	ramai
2449	monombului	mengunjungi	to visit	tombului
2450	mapit	mampir, singgah	to drop by	apit
2451	pirundingan	perhimpunan, pertemuan	meeting	runding
2452	borunding	bertemu	to meet	runding
2453	pati	pesta	party	
2454	kapasaksian	upacara	ceremony	saksi'
2455	poponggilan	jemputan, undangan	invitation	
2456	tombului	tamu	visitor, guest	
2457	pomoinan	permainan	game	main
2458	popotulud do kikik	main layang-layang	to fly a kite	tulud
2459	main pakau	main kartu	to play cards	
2460	bajudi	berjudi	to gamble	judi
2461	main mabol	main guli/gundu	to play marbles	
2462	miium-iium	main cari-carian	hide-and-go-seek	ium
2463	poroyunan	ayunan	swing	
2464	mongoriing	berkelereng	to play with marbles	
2465	tubau	gasing	spinning top	
2466	satur	catur	chess	
2467	misimbar-simbar	berbantah, berdebat	to argue	simbar
2468	mangala, kumilawan	bersaing	to compete	ala, lawan
2469	manantang	menentang	to resist, protest	
2470	batangkar-tangkaran	suka bertengkar	quarrelsome	
2471	mapalad-palad	iri hati, dengki	to be jealous	palad
2472	mamamaki'	tidak sopan, tidak hormat	insolent	paki'
2473	momorugi'	merugikan	to harm (materially)	rugi'
2474	monyinduol	melukai	to harm, injure (physically)	duol
2475	mongondot	menindas	to oppress	ondot
2476	montoro'	mengganggu	to tease, annoy	toro'
2477	mominasa'	merosakkan	to damage, destroy	binasa'
2478	mirantai	perdamaian	peace	
2479	parang	perang	war	
2480	piimangan, piiwalan	perkelahian	fight	imang, iwal
2481	tantara'	tentera	armed forces	
2482	soujar	askar	soldier	
2483	pangkat	pangkat	rank	
2484	sinapang	senapang	rifle, gun	
2485	opisor	perwira	officer	
2486	regu	pasukan, regu	squad	
2487	sanjata'	senjata	weapon	
2488	nosanjataan	bersenjata	armed	sanjata'
2489	andus, tompuling	tombak	spear	
2490	padang	pedang	sword	
2491	pisau	pisau	knife	
2492	sandung	parang	bush knife	
2493	pana', pomana'	panah	bow and arrow	
2494	piluru	peluru	bullet	
2495	mamadil	menembak	to shoot	badil
2496	popodagang	mengkhianati	to betray	dagang
2497	monyolinu	mengintai	to spy	solinu
2498	monyarang	menyerang	to attack	sarang
2499	komanangan	kemenangan	victory	manang
2500	rinampasan	rampasan	loot, booty	rampas
2501	korban	korban	victim	
2502	benteng	benteng	fortress	
2503	mamarakop	menawan	to capture	rakop
2504	mangadang	mengadang	to ambush	adang
2505	tumingkod, kotingkadan mamadil	gencatan senjata	cease-fire	tingkod, badil
2506	mundur	mundur	to retreat	
2507	janji' do pirantayan	perjanjian perdamaian	peace treaty	
2508	ukuman	hukum	law	ukum
2509	koubasan, adat	adat	custom, traditional law	ubas
2510	adat koubasanan	adat istiadat	various traditional laws	ubas
2511	luyar	loyar, peguam	lawyer	
2512	pombisaraan	pengadilan	court, trial	bisara'
2513	monondos	menuduh	to accuse	tondos
2514	nadawa'	terdakwa	defendant	dawa'
2515	kotandas-tandasan	tuduhan palsu	false accusation	tondos
2516	yang patut	hak asasi	basic rights	
2517	undang-undang	undang-undang	law, ordinance	
2518	mongukum, manyala'	menghukum	to punish, sentence	ukum, sala'
2519	momogugur do ukuman	menjatuhkan hukuman	to pronounce sentence	gugur
2520	momolanggar do ukum	melanggar hukum	to break the law	langgar
2521	tuan akim	hakim	judge	
2522	mangadili	menghakimi, mengadili	to judge	
2523	mopolapas	membebaskan	to acquit	lapas
2524	momomadawa'	jaksa	prosecutor	dawa'
2525	pojiilan	penjara, jel	prison	jiil
2526	orang sala', ulun poinjiil	orang hukuman	prisoner	
2527	momobog	memukul	to beat	bobog
2528	ukuman baasut	hukuman badani	corporal punishment	ukum, asut
2529	sumangsara'	menderita	to suffer	sangsara'
2530	rantai	rantai	chains	
2531	poilabus	bebas	free	labus
2532	mamajaga'	menjaga, mengawal	to guard	jaga'
2533	mambayar do korugian	membayar kerugian	to pay damages	bayar, rugi
2534	mambalas dandam	menuntut bela, membalas dendam	to avenge	balas
2535	juri	juri	jury	
2536	sasi', saksi	saksi	witness	
2537	kurungan ulun kisala'	sel	cell	sala'
2538	mangakun	mengaku	to confess	akun
2539	karaatan	jenayah, kejahatan	crime	raat
2540	kasalaan maraat	kesalahan jenayah, pidana	criminal	sala'
2541	parkara	perkara	legal case	
2542	mandawa'	mendakwa, menggugat	to sue / to prosecute	dawa'
2543	jiilan	menjalani (hukuman)	to serve (sentence)	jiil
2544	pamainan kasti	permainan kasti	softball-like game	main
2545	buul, guul	bola	ball	
2546	bobobog	pemukul, reket	bat, racket	bobog
2547	lumba'	sukan, olahraga	sports	
2548	kolulumbaan	lapangan olahraga	playing field	lumba'
2549	silat	silat	martial art	
2550	momukut	meninjau	to box	bukut
2551	kukumibukut, poninju	petinju	boxer	bukut
2552	patandingan	pertandingan	match	
2553	ibul-ibul	bola voli	volleyball	
2554	pimpong	pingpong	table tennis	
2555	sumadui	berenang	to swim	sadui
2556	kolam sasaduyan	kolam renang	swimming pool	sadui
2557	bola sipak	bolasepak, sepak bola	football, soccer	
2558	tiim mimbuul	kesebelasan	football team	
2559	bulu tangkis	bulu tangkis, badminton	badminton	
2560	raket	reket	racket	
2561	lumba'	perlumbaan	competition, race	
2562	rikatan santaban	saingan	rival	
2563	momalawan	bersaing	to compete	lawan
