\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
monyusub,,menyuruh,to send a boy,susub,,monusub,,
mamuka',,membuka,to open,buka',,,,
mamaliu,,pindah,to move (itr.),baliu,,,,
mapaambur,,menebar,to scatter,ambur,,,,
manatak,,meninggalkan,to leave (something),tatak,,,,
mugad,,berangkat,"to leave, depart",ugad,,,,
sumuang,,masuk,to enter,suang,,,,
popoima',,menaruh,to place,ima',,,,
mongodong,,menarik,"to draw, haul, pull",kodong,,,,
magangkut,,mengangkut,"to take away, transport",angkut,,,,
mamanu',,mengisi penuh,to cram,panu',,,,
monutub,,menutup,to close,tutub,,,,
poposisip,,menyisipkan,"to insert, enter",sisip,,,,
mangamuk,,menusuk,"to stab, insert",amuk,,,,
mitatau',,bersembunyi,to hide (intr.),tau',,,,
mantau',,menyembunyikan,"to hide, conceal",tau',,,,
mamarata',,meratakan,to level,rata',,,,
mamungga,,memunggah,to unload,pungga,,,,
magudan,,memuat,"to load, fill up",udan,,,,
manatak,,menghilangkan,"to omit, leave out",tatak,,,,
jumurunjung,,"menabrak, melanggar",to bump into,runjung,,,,
mapaangob,,menutup,"to close doors, windows",angob,,,,
mongoondoi,,memegang,to hold,kondoi,,,,
mamabo',,menggendong,to carry on back,babo',,,,
mananggung,,memikul,to carry with a pole (shoulders),tanggung,,,,
mangansip,,mengepit,to carry under arm,ansip,,,,
manyuun,,menjunjung,to carry on head,suun,,,,
manyaan,,memanggul,to carry on shoulder,saan,,,,
mongimbing,,menjinjing,to carry by hand,kimging,,,,
tanggungan,,menggotong,to carry a thing (by several people),tanggung,,,,
mongibit do kitatanggungan,,mengusung,to carry on a stretcher,ibit,,,,
momobog,,memukul,to hit,bobog,,,,
momogitik,,mengetuk,to knock (door),gitik,,,,
monguyog,,mengocok,to shake (mixture),uyog,,,,
mongunggu',,mengguncangkan,to shake,kunggu',,,,
monginsud,,menggerakkan,to move,insud,,,,
momolunyod,,memukul berulang-ulang,to hit repeatedly,lunyod,,,,
mamabak,,menghancurkan,to smash,babak,,,,
nododok,n,remuk,smashed completely,dodok,,,,
naansur,n,hancur,shattered,ansur,,nagagai,,
nagagai,n,hancur,shattered,gagai,,naansur,,
mangusau,,menggerakkan,to agitate,kusau,,,,
momogiur,,mengucau,to stir,giur,,,,
mangama',,"meraba, menyentuh",to touch,kama',,manudu,,
manudu,,"meraba, menyentuh",to touch,kama',,mangama',,
manapap,,bertepuk tangan,to clap hands,tapap,,popitapap do palad,,
popitapap do palad,,bertepuk tangan,to clap hands,tapap,,manapap,,
momukut,,meninju,to box,bukut,,,,
mominasa',,menumpas,to destroy,binasa,,,,
manapap,,menampar,to slap,tapap,,,,
momoruju,,"berlanggar, bertubrukan",to collide,ruju,,,,
manulak,,"mendorong, menolak",to push away,tulak,,,,
momutul,,memotong (kayu),"to cut, chop (wood)",putul,,mamalaas,,
mamalaas,,memotong (kayu),"to cut, chop (wood)",laas,,momutul,,
mangasa',,mempertajam,to sharpen (knife),asa',,mamaladom,,
mamaladom,,mempertajam,to sharpen (knife),ladom,,mangasa',,
mammus,,meraut,"to whittle, sharpen (pencil)",puus,,,,
mamuguk,,mencukur,to shave,buguk,,,,
mongikis,,menggaruk,to scrape,kikis,,,,
managad,,menebang (pokok),to cut down (tree),tagad,,,,
monyinsib,,mengiris,to slice,sinsib,,,,
mongorob,,memangkas,"to cut (hair, grass)",korob,,,,
monibas,,"menikam, menusuk",to stab,tibas,,monobok,,
monobok,,"menikam, menusuk",to stab,tobok,,monibas,,
manata',,membedah,to operate (on a person),tata',,,,
mamaladi,,membelah,"to split, chop",ladi,,mamalaas,,
mamalaas,,membelah,"to split, chop",laas,,mamaladi,,
mogingkulit,,mengupas,to peel,ingkulit,,,,
mangubak,,menguliti pokok,to take bark off tree,kubak,,manganit,,
manganit,,menguliti pokok,to take bark off tree,anit,,mangubak,,
mamaagi,,membahagi,to divide,baagi,,,,
popisuai,,memisahkan,to separate,suai,,,,
monontom,,menakuk,to notch,tontom,,,,
momutul,,memenggal,to cut off,putul,,,,
magarib,,mengerat,to cut into small pieces,arib,,,,
momogunting,,menggunting,to cut (with scissors),gunting,,,,
mompurut,,memetik,"to pick off (fruit, flower)",purut,,,,
monipu',,mematahkan,"to snap, break",tipu',,,,
mamadi,,memecahkan,"to break apart (bread, fruit)",padi,,,,
pilat,n,luka,"wound, break, cut skin",pilat,,nalaput,nagaris,
nalaput,n,luka,"wound, break, cut skin",laput,,pilat,nagaris,
nagaris,n,luka,"wound, break, cut skin",garis,,pilat,nalaput,
nononggoloto,n,retak,cracked (glass),goloto,,,,
naurak,,"koyak, robek, sobek",torn,urak,,,,
narusak,n,rosak,damaged,rusak,,,,
naputul,n,patah,broken (stick-like objects),putul,,,,
nababak,n,pecah,break,babak,,,,
manandang,,menyepak,to kick,tandang,,,,
manyadu,,tersandung,to stub toe,sadu,,,,
mongunang,,menginjak,to step on,unang,,,,
nakasadu,n,tersandung,stubbed,sadu,,,,
momobor,,membuang,to throw away,bobor,,,,
mamala,,melempar,"to throw at, pelt",bala,,,,
mapabala,,melemparkan,to throw,bala,,,,
tumindak,,memerciki,to sprinkle,tindak,,,,
mangusau,,"mengebaskan, mengebutkan",to shake out (dust),kusau,,,,
popoambur,,menghamburkan,to scatter,ambur,,,,
maparambat,,menebarkan (jala),to cast (fish nets),rambat,,,,
mamasang,,memasang,to install,pasang,,,,
mamakai,,memakai,to put on,pakai,,,,
mapabanta',,meletakkan,to place,banta',,,,
mantau',,"menaruh, menyimpan",to put away,tau',,,,
monutub,,menutupi,to cover up,tutub,,,,
popobobor,,mencampak,to throw,bobor,,,,
poposuang,,memasukkan,to insert,suang,,,,
mapasau',,membuang sauh,to cast anchor,sau',,,,
mongodong do sau',,mengangkat sauh,to weigh anchor,,"kodong, sau'",,,
mamaganti',,menaruh kembali,to replace,ganti',,,,
manulak,,"menolak, mendorong",to push,tulak,,,,
mangadut,,mencubit,to pinch,kadut,,,,
mamaga',,memeras,to squeeze,paga',,,,
momojojok,,menekan,to press,jojok,,,,
kinojojokon,n,tekanan,pressure,jojok,,,,
popolasut,,mendorong ke samping,to shove aside,lasut,,,,
popoapi',,menerobos,"to shove through, break in",api',,,,
momoginsir,,mengalihkan,to shift (something),ginsir,,,,
poponipis,,memipihkan,"to flatten, make thin",nipis,,,,
momutar,,memutar,"to twist, turn",putar,,momusing,,
momusing,,memutar,"to twist, turn",pusing,,momutar,,
mongodong,,menarik,to pull,kodong,,,,
mongubul,,mencabut,"to pull out, extract",ubul,,,,
mangkatu',,memetik,to pick (flower),katu',,,,
mongubul do bulu,,membului,to pluck (chicken),ubul,,,,
mongutus,,menghunus,to draw (sword),utus,,,,
mongiang,,menyiangi,to weed,iang,,,,
mogukad,,menggali,to dig,ukad,,,,
monolon,,menelan,to swallow,tolon,,,,
monyiop,,menghisap,"to suck, inhale",siop,,,,
mamigis,,menyadap,to tap (tree),pigis,,,,
momutung do gatah,,menoreh getah,to tap rubber,putung,,,,
mamagakut,,mengikat,to tie up,gakut,,,,
momongkos,,mengikat jadi satu,to tie in bundle,bongkos,,,,
momolopot,,membungkus,to wrap up,lopot,,,,
mongintal,,memintal (tali),"to roll, twist (string)",intal,,,,
momolikou,,menggulung,to roll up,likou,,,,
mamalingkuk,,membengkokkan,to bend (tr.),lingkuk,,,,
maguyad,,"menguraikan, membuka ikatan",to untie,uyad,,,,
mangurau,,"membongkar, membuka",to dismantle,urau,,momungkar,,
momungkar,,"membongkar, membuka",to dismantle,bungkar,,mangurau,,
mogikam,,mengorek,to dig up,ikam,,,,
koiso tutub,,membentangkan (tikar),"to open out, spread (mat, rug)",,,poimbuka,,
poimbuka,,membentangkan (tikar),"to open out, spread (mat, rug)",buka,,koiso tutub,,
monutub,n,terbuka,uncovered,tutub,,,,
tutub,,menutup,to close,,,,,
kalat,n,tutup,lid,,,,,
tali,n,tali (kasar),"rope, string",,,,,
gantian,n,tali (kecil),thin string,,,,,
popotukid,,"memberikan, membagikan",to give out,tukid,,,,
manaak,,memberi,to give,taak,,,,
popotaak,,menyerahkan,to hand over,taak,,,,
mamaagi,,membahagi,to divide,baagi,,,,
popoolos,,meminjamkan,"to lend, loan (money, food)",olos,,,,
popoumboyo',,mempercayakan,to entrust,umboyo',,,,
monyumad,,memberi makan,to feed,sumad,,,,
mogolos,,meminjam,to borrow,olos,,,,
mogutang,,berhutang,to owe,utang,,,,
monyuli' do utang,,membayar hutang,to pay a debt,suli',,,,
mambayar,,membayar,to pay,bayar,,,,
utang,n,hutang,debt,,,,,
mantagi,,menagih,to demand payment,tagi,,,,
mogugutang,n,orang yang berhutang,debtor,utang,,,,
rasit,n,resit,receipt,,,risit,,
risit,n,resit,receipt,,,rasit,,
ulun popoutang,n,"orang perhutangan, penagih",creditor,utang,,,,
inutangan,n,pinjaman,loan (sum of money),utang,,,,
nabayaran,n,lunas,paid,bayar,,,,
magalap,,mengambil,to take,alap,,,,
monimung,,mengumpulkan,to gather,timung,,,,
mantakou,,mencuri,to steal,takou,,,,
magaau,,merampas,"to rob, grab",aau,,,,
monyaluk,,mencopet,to pickpocket,saluk,,,,
manyambut,,menangkap (bola),to catch (ball),sambut,,momorakop,,
momorakop,,menangkap (bola),to catch (ball),rakop,,manyambut,,
mamarakop,,menangkap (orang),to seize (person),rakop,,,,
magaau,,"mencekau, merebut","to grab, seize",aau,,,,
mangurung,,menculik,to kidnap,kurung,,,,
barang rinampasan,n,barang rampasan,booty,,,,,
tinakawan,n,curian,stolen thing,takou,,,,
pinanaak,n,"derma, sumbangan",donation,taak,,,,
tingadan,n,hadiah,gift,,,,,
mamawaris,,mewariskan,to bequeath,waris,,,,
warisan,n,ahli waris,heir,,,,,
moningadan,,mengganjar,to reward,,,,,
gaji',n,upah,wages,,,,,
motoluod,n,bermurah hati,generous,toluod,,,,
poposara,,mengorbankan,to sacrifice (something),sara,,,,
popolubuk,,mempersembahkan,to sacrifice to God,lubuk,,,,
momolulas,,menghapus,"to rub out, erase",lulas,,,,
mangkapu,,menyapu,to sweep,kapu,,,,
momiid,,menyeka,to wipe,piid,,,,
popokilat,,menyemir,to polish,kilat,,,,
mongutab,,mengebut,to dust,kutab,,,,
mamagasa',,menggosok,to rub,gasa',,,,
popotuyu',,membersihkan,to clean up,tuyu',,,,
momoliung,,"mencuci (cawan, dll)","to wash (cups, etc.)",liung,,,,
minjagup,,mencuci muka,to wash (face),injagup,,,,
mimpaju,,mandi,"to bathe, take a bath",paju,,,,
mamaju,,memandikan,to bathe someone,paju,,,,
mompupu,,mencuci pakaian,to launder clothes,pupu',,,,
sabun,n,sabun,soap,,,,,
pomumupu' do abuk,n,"ubat pencuci rambut, syampu",shampoo,pupu',,,,
mompupu' do abuk,,"berlangir, mencuci rambut",to wash hair,pupu',,,,
mamarus do dipon,,menggosok gigi,to clean teeth,barus,,,,
moonsoi,,baik,good,onsoi,,,,
mosongon,n,indah,beautiful (things),songon,,,,
mosongon,n,cantik,beautiful (person),songon,,,,
matandig,,kacak,handsome,tandig,,matandon,,
matandon,,kacak,handsome,tandon,,matandig,,
maraat,n,"jelik, buruk","bad, ugly",raat,,,,
kiasil,n,untunglah,fortunately,asil,,,,
nasip-nasip,n,kebetulan,by chance,,,,,
moonsoi banar,,baik sekali,very good,onsoi,,,,
kiguna',n,penting,important (affair),guna',,,,
modoriwo' guang,n,rendah hati,meek,doriwo',,,,
maamis,,manis,sweet,amis,,,,
motulid guang,n,salih,"pious, virtuous",tulid,,,,
kiadat,n,beribadat,religious,adat,,,,
koimaan,n,sifat,character,,,,,
kinobonsoyo',n,mutu,quality,bonsoi,,,,
koiso kosianan,n,kejam,"fierce, cruel",,,,,
ponyukur,n,sederhana,simple,sukur,,,,
masuaka',n,sopan-santun,"politeness, courtesy",suaka',,,,
kaansayan,n,menarik,interesting,onsoi,,,,
panggalat,n,halus,"refined, polite",galat,,pongurumat,,
pongurumat,n,halus,"refined, polite",,,panggalat,,
momuradawan,n,dengan kepala dingin,temperate,,,,,
mapandai,n,pandai,"wise, clever",pandai,,,,
kipandai,n,cerdik,wise,pandai,,,,
nakal,n,nakal,naughty,,,,,
mokoikum,n,keji,shameful,ikum,,,,
ngaran moonsoi,n,nama baik,good reputation,onsoi,,,,
koiso kourumatan,n,biadab,"rude, impolite",,,,,
mosumbung,n,"bongkak, congkak",conceited,sumbung,,,,
masuaka',n,ramah,"friendly, intimate",suaka',,mobiambat,,
mobiambat,n,ramah,"friendly, intimate",ambat,,masuaka',,
kumiambat,n,mesra,intimate,ambat,,,,
kibudi,n,berbudi,"reasonable, rational",budi,,,,
ulun buntung,,busuk (orang),corrupt,,,,,
mogitatabang,n,gotong-royong,mutual cooperation,tabang,,,,
mapantor,,kasar,rude,pantor,,,,
maraat,n,jahat,"cruel, wicked",raat,,,,
kidusa',n,berdosa,sinful,dusa',,kidouso,,
kidouso,n,berdosa,sinful,douso,,kidusa',,
pangasau,n,ganas,savage,kasau,,,,
koiso kagalatan,n,tidak sopan,impolite,galat,,,,
sumbung,n,sombong,arrogant,,,,,
mobintaak,n,murah hati,generous,taak,,,,
moonsoi guang,n,baik hati,good-natured,onsoi,,,,
morunus,,"tulus hati, jujur",honest,runus,,,,
mobiuot,n,budi bahasa,courtesy,,,,,
makaaso,n,bangga,"proud (of family, country)",aso,,mapuji,,
mapuji,n,bangga,"proud (of family, country)",puji,,makaaso,,
kumiambat,n,karib,close (friend),ambat,,,,
banar,n,benar,"right, correct",,,morunus,,
morunus,n,benar,"right, correct",runus,,banar,,
poirunus,n,tepat,exact,runus,,pointiru,,
pointiru,n,tepat,exact,tiru,,poirunus,,
tunudan,,sungguh,real,tunud,,,,
poirunus,,betul,real,runus,,,,
mompobudut,,membohong,to tell a lie,budut,,,,
momoduung,,menipu,"to deceive, cheat",duung,,,,
duo ulu,n,seperti ular berkepala dua,two-faced,ulu,,moduduung,,
moduduung,n,seperti ular berkepala dua,two-faced,duung,,duo ulu,,
pointunud,n,saksama,"accurate, right",tunud,,,,
poinsala',n,salah,"wrong, erroneous",sala',,,,
kasalaan,n,kesalahan,mistake,sala',,,,
sala',,keliru,wrong,,,,,
nokotunud,,betul,correct,,,,,
mau',,mahu,to want,,,masaga',,
masaga',,mahu,to want,saga',,mau',,
kaa mau',,tidak mahu,to not want,,,kaa masaga',,
kaa masaga',,tidak mahu,to not want,,,kaa mau',,
monulak,,menolak,to refuse,tulak,,,,
kagaaban,n,cita-cita,"goal, ideal",gaab,,gaab,,
gaab,n,cita-cita,"goal, ideal",gaab,,kagaaban,,
monyongon,,berhasrat,to covet,songon,,,,
gumaab,n,berambisi,ambitious,gaab,,,,
mokirayou,,ingin mencari nama (minta puji),to covet fame,rayou,,,,
masuur,,"terkenal, masyhur",famous,,,,,
misosongulun,n,egois,selfish,songonulun,,,,
modoot,n,lahap,gluttonous,doot,,,,
suka',,menyukai,to like,suka',,,,
maalap,n,"dapat, boleh",able,alap,,,,
kosukaan,,suka akan,to be fond of,suka',,,,
kosukaanan,,lebih suka,to prefer,suka',,,,
sumolon,,ingin,"to covet, desire",solon,,,,
kasalanan,n,keinginan,desire,solon,,,,
mokososolon,,sangat menginginkan,to desire very strongly,solon,,,,
kalaan,,haus akan,to thirst for,kala',,,,
momantang,,menghormati,to esteem,pantang,,,,
poporogo,,menghargai,to appreciate,rogo,,,,
popoajap,,mengagumi,to admire,ajap,,,,
momorikot,,mencapai,to reach,rikot,,,,
guminawo,,mencintai,"to desire, love",ginawo,,,,
midudurul,,gemar akan,to have a passion for,durul,,,,
mindurul,,"tamak, serakah",to be greedy for,durul,,,,
mosingot,n,kikir,stingy,singot,,,,
modoot,,rangka,greedy,doot,,,,
mongkimamanang,,menang,to win,manang,,,,
mogium do dalan (intad do kosusaan),,mengatasi (masalah),to overcome (a problem),ium,,,,CHECK_LX
mangala,,kalah,to lose,ala,,,,
mangala,,mengalahkan,"to beat, defeat",ala,,,,
kikasanggupan,n,"sanggup, mampu",capable,sanggup,,kikabulian,,
kikabulian,n,"sanggup, mampu",capable,buli,,kikasanggupan,,
madaras,,kuat,strong,daras,,,,
popobanar,n,boleh,allowed to,banar,,,,
poingaso,n,senang,"happy, gay, joyful",aso,,poingompod,,
poingompod,n,senang,"happy, gay, joyful",ompod,,poingaso,,
maso-aso,n,sukacita,joyful,aso,,,,
moginaso,,bersenang hati,to rejoice,aso,,,,
maansayan,n,gembira,pleased,onsoi,,,,
nosukupi,n,puas,satisfied,sukup,,,,
kkumumis,,tersenyum,to smile,kumis,,,,
mogirak,,"tertawa, ketawa",to laugh,irak,,,,
poposanang do guang,,menghilangkan kesusahan,to dispel sadness,,"sanang, guang",,,
susa' guang,,susah hati,sad,,"susa', guang",,,
mantangi',,menangis,to cry,tangi',,,,
sumusa' guang,,berdukacita,to be sorrowful,,"susa', guang",,,
mangkurudu',,berkabung,to mourn,rudu',,,,
toringi-ringi',,merengek-rengek,to whimper,ringi',,,,
toroong-roong,,"mengerang, mengeluh sakit","to groan, moan",roong,,,,
masian,n,kasihan,pity,sian,,,,
sanang guang,,bahagia,happy,sanang,,,,
nakaaso,n,sangat gembira,overjoyed,aso,,,,
masanang guang,n,girang hati,cheerful,sanang,,,,
poposanang do guang,,menghibur,to comfort,sanang,,,,
mompoloyou,,meratap,"to lament, wail",loyou,,,,
monsoirak-irak,,bermuka gembira,to be all smiles,irak,,,,
monsokiki-kiki',,tertawa terkekek-kekek,to giggle,kiki',,,,
umaso,,menikmati,to enjoy,aso,,,,
tingadan,n,ganjaran,reward,,,,,
pansayatan,n,lelucon,joke,sayat,,,,
mokasasayat,,lucu,funny,sayat,,,,
maso-aso,n,riang,cheerful,aso,,,,
sumingga,,berseri-seri,"to shine, radiate",singga,,,,
kumorudu',,meratapi,to bewail,rudu',,,,
tosikok-sikok,,tersedu-sedu,to sob,sikok,,,,
boriisan romou,,air matanya berlinang-linang,to burst into tears,riisan,,,,
lumoyou,,menangis dengan nyaring,to cry aloud,loyou,,,,
poingkorudu',n,muram,"gloomy, sad",rudu',,,,
tumangi',,"memberengut, merajuk",to sulk,tangi',,kinumaus,,
kinumaus,,"memberengut, merajuk",to sulk,kaus,,tumangi',,
guminawo,,"mengasihi, mencintai",to love,ginawo,,,,
norindu',,jatuh cinta,to fall in love,rindu',,,,
mongondom,,ingat,to remember,ondom,,,,
motoluod,,baik,kind,toluod,,,,
mombansi',,merasa jijik,to detest,bansi',,,,
mombalasi',,mendendam,to hold a grudge,balas,,,,
bansi',,benci,to hate,,,,,
mapaapalad,n,iri hati,envious,palad,,,,
mapaladan,,cemburu,jealous,palad,,,,
dumangki',n,dengki,maliciously jealous,dangki',,,,
kikaladangan,n,kesal,regret; resentful,lodong,,,,
pirantayan,n,perdamaian,peace,,,,,
karantayan,n,damai,peace,,,,,
mosianan,n,kasihan,compassion,sian,,,,
kasianan,n,"kasih, cinta, sayang",love,sian,,,,
mitoluod,n,ramah,"friendly, kind",toluod,,,,
sumangka',n,berprasangka,prejudiced,sangka,,,,
mondom,n,rindu,"longing, desire",ondom,,,,
mangasau,,mengganggu,to annoy,kasau,,,,
papadagang,,mengkhianati,to betray,dagang,,,,
mokolodong,,naik darah,to become angry,lodong,,,,
lumodong,,marah,angry,lodong,,,,
mantau' do lalom guang,,menyimpan perasaan,to keep feeling to oneself,tau',,,,
kaa sabar,n,tak sabar,impatient,,,,,
kikaladangan,n,dongkol,angry inside,lodong,,,,
poposarui do guang,n,biar marahnya mereda,let anger cool,sarui,,,,
monginam,,menggoda,"to tempt, seduce",kinam,,,,
nokolodong,n,hilang kesabarannya,lose one's temper,lodong,,,,
nasakat,,"geram, sangat marah",to be furious,sakat,,,,
sumakat,,tersinggung,to be offended,sakat,,,,
mongondot,,menindas,to oppress,ondot,,,,
mingkolos,,menghina,to humiliate,kolos,,,,
lumaa',n,takut,afraid,laa',,,,
matalou,,"pengecut, penakut",coward,talou,,,,
maikuman,n,malu,"timid, shy, embarrassed",ikum,,,,
mimang barani',,berani,to dare,barani',,,,
mimbabarani',,memberanikan diri,to take courage,barani',,,,
kaa lumaa',,tidak takut,not afraid,laa',,,,
barani',n,gagah berani,"courageous, brave",,,,,
bapantang,,berpantang,to abstain from,pantang,,,,
mompulalaa',,mengancam,to threaten,laa',,,,
magangau,,cemas,worried,gangau,,,,
maikuman,n,"malu, tersipu-sipu",timid,ikum,,,,
makakagangau,n,khuatir,"anxious, uneasy",gangau,,,,
mabak-abak,n,gugup,"nervous, panicky",abak,,,,
nompuong,n,bingung,"confused, upset",,,,,
matatalou,n,bersemangat kambing,chicken-hearted,talou,,,,
barani' mati,n,berani mati,"audacious, not afraid of death",barani',,,,
jumajal,n,"berkeras kepala, bandel","stubborn, obstinate",jajal,,,,
tabug,n,"tabu, pantang larang",taboo,,,pantang,,
pantang,n,"tabu, pantang larang",taboo,pantang,,tabug,,
mokotigog,,ngeri,horrified,tigog,,,,
mogumboyo',,percaya,"to trust, believe",umboyo',,,,
umboyoon,,mempercayai,to be trusted,umboyo',,,,
maparu,n,rajin,industrious,paru,,,,
panyubaan,n,"usaha, percubaan",effort,suba',,,,
monginam,,"berusaha, mencuba",to try,kinam,,,,
buli,n,mampu,"able, capable",,,maalap,,
maalap,n,mampu,"able, capable",alap,,buli,,
kaa buli,n,tidak mampu,"unable, incapable",,,kaa maalap,,
kaa maalap,n,tidak mampu,"unable, incapable",alap,,kaa buli,,
matukang,n,pandai,skillful,tukang,,,,
mapandai,n,"cerdik, cerdas","clever, shrewd",pandai,,,,
mokoduduung,n,licik,"crafty, cunning",duung,,,,
mosikap,n,tangkas,dexterous,sikap,,,,
matiad,,malas,lazy,tiad,,,,
kopangada',n,segan,reluctant,ada',,,,
kopangadaan,n,keseganan,apathy,ada',,,,
makaras,n,keras terhadap tugas,"strict, stern",karas,,,,
karaja',n,tugas,task,,,,,
mopapanau,,menjalankan,to carry out,panau,,,,
momongo,,menyelesaikan,to finish,pongo,,,,
momboyo',,"taat, patuh",to obey,umboyo',,mumboyo',,
mumboyo',,"taat, patuh",to obey,umboyo',,momboyo',,
mobiumboyo',n,rendah hati,"humble, modest",umboyo',,,,
pomantang,,sopan,polite,pantang,,,,
mongurumat,,menghormati,to respect,urumat,,,,
kopomogian,n,sifat baik,virtue,bagi,,,,
misosondiri',n,egois,selfish,sondiri',,,,
poingumboyo',n,setia,faithful,umboyo',,,,
motoluod,n,murah hati,generous,toluod,,,,
kikotoluadan,n,lemah lembut,"kind, gentle",toluod,,,,
mongampun,,mengampuni,to forgive,ampun,,,,
pongosian,n,pengasihan,mercy,sian,,,,
parangai,n,lagak,attitude,,,,,
mosumbung,n,sombong,arrogant,sumbung,,,,
minsusumbung,,menyombongkan diri,to boast,sumbung,,,,
magayo ulu,n,besar kepala,big-headed,,"gayo, ulu",,,
kabansayan,n,kebaikan,goodness,bonsoi,,,,
sususubon,n,hamba,servant,susub,,,,
poposara,,menyerah,to surrender,sara,,,,
mamara',,mengatakan,"to say, speak, tell",wara',,,,
moboros,,"berkata, bilang",to say,boros,,mogigia',,
mogigia',,"berkata, bilang",to say,gia',,moboros,,
moguot,,bertanya,to ask,uot,,,,
monyimbar,,menjawab,to answer,simbar,,,,
mokianu,,"memohon, meminta",to request,anu,,,,
monorima kasi',,berterima kasih,to thank,torima',,batarima kasi',,
batarima kasi',,berterima kasih,to thank,torima',,monorima kasi',,
mogipag,,memanggil,to call,ipag,,,,
monyusub,,memerintah,to command,susub,,,,
poporati,,menerangkan,to explain,rati,,,,
mopoongoi,,"menjemput, mengundang",to invite,ongoi,,,,
monyonsog,,mendesak,to urge,sonsog,,,,
manyarita',,menceritakan,to tell (a story),sarita',,,,
manasiat,,menasihati,to advise,nasiat,,mamitua,,
mamitua,,menasihati,to advise,bitua,,manasiat,,
mongira',,mengajar,to teach,ira',,mangajar,,
mangajar,,mengajar,to teach,ajar,,mongira',,
mangatawan,,"merundingkan, membicarakan",to discuss,tawan,,,,
poposadar,,mengingatkan,to remind,sadar,,popoondom,,
popoondom,,mengingatkan,to remind,ondom,,poposadar,,
mopabanar,,mengizinkan,to permit,banar,,,,
mopokasala',,mencela,to criticize,sala',,monyimban,,
monyimban,,mencela,to criticize,simban,,mopokasala',,
mopoibu',,memarahi,to scold,ibu',,,,
mopokobudu',,mencaki-maki,"to scorn, ridicule",budu',,,,
momanta,,berbantah,to argue,banta,,,,
mopogigiiad,,menyetujui,to agree,iad,,,,
magalim,,menyangkal,to deny,alim,,,,
popokutuk,,"menyumpahi, mengutuk",to put a curse on,kutuk,,,,
mopotanang,,menenangkan,to pacify,tanang,,mopotatap,,
mopotatap,,menenangkan,to pacify,tatap,,mopotanang,,
mogipapakat (miampai pointau'),,bercakap secara rahsia,to speak confidentially,pakat,,,,CHECK_LX
monondos,,menuduh,to accuse,tondos,,,,
boros,n,"kata, perkataan",word,boros,,,,
gia',n,bahasa,language,gia',,,,
gia' asal,n,"loghat, dialek",dialect,,"gia', asal",,,
asal,n,"legenda, hikayat",legend,,,,,
tangon,n,dongeng,fairy-tale,,,,,
mongompuras,,menyatakan,"to state, clarify",,,,,
dolou,n,suara,voice,,,,,
mamajanji',,berjanji,to promise,,,,,
mompobudut,,"berdusta, membohong",to tell a lie,budut,,,,
dolou,n,bunyi,sound,,,,,
kaabigan,n,"bunyi bahasa, lafaz, ucapan",pronounciation,abig,,,,
butok,,"berbual-bual, omong kosong",to chatter,,,,,
sumimbar,,menyahut,to reply,simbar,,,,
gigiaan,n,ucapan,speech,gia',,,,
mimbutok,,gagap,to stutter,butok,,,,
mutok-butok,,berkomat-kamit,"to mouthe, mumbble",butok,,,,
gumisak,,menjerit,to scream,gisak,,,,
lumuap,,berteriak,to shout,luap,,,,
tumangkar,,bercakap dengan keras,to speak loudly,tangkar,,,,
mongonos,,berbisik,to whisper,konos,,,,
kumiiwal,,bersungut-sungut,to grumble,iwal,,,,
mopokasala',,mengeluh,to complain,sala',,,,
mogodoi,,"meraung, mengaduh",to moan,odoi,,rumoong,,
rumoong,,"meraung, mengaduh",to moan,roong,,mogodoi,,
pinsil,n,pensil,pencil,,,,,
pinsil dawat,n,pen(a),pen,,,,,
pen dawat,n,pulpen,fountain pen,,,,,
pinsil warana',n,pensil berwarna,colored pencil,,,,,
manulis,,menulis,to write,tulis,,,,
manyurat,,menulis surat,to write a letter,surat,,,,
misurat,,surat-menyurat,to correspond,surat,,,,
manaip,,menaip,to type,taip,,,,
taip surat,n,mesin taip,typewriter,taip,,,,
mananaip,n,penaip,typist,taip,,,,
moporinting,,mencetak,to print,,rinting (?),,,
popoabar,,menerbitkan,to publish,abar,,,,
abaran,n,terbitan,edition,abar,,,,
buuk,n,buku,book,,,,,
gia' naapal,n,perbendaharaan kata,vocabulary,,,kogigiaan,,
kogigiaan,n,perbendaharaan kata,vocabulary,,,gia' naapal,,
babasaan,n,"rencana, imla",dictation,basa',,,,
kosoluraan,n,jilid,volume,solura',,,,
buuk paringatan,n,"buku tulis, buku catitan",notebook,,,,,
katarangan natulis,n,bukti tertulis,written proof,tarang,,,,
buuk paringatan uodo-nodo,n,buku harian,diary,,,,,
surat katarangan,n,dokumen tertulis,written document,tarang,,,,
bagarayat,,mencorat-coret,to scribble,garayat,,,,
kopodibaan do gia',n,singkatan,abbreviation,dibo',,,,
salinan maagab,n,naskhah,"draft, rough copy",salin,,,,
karatas,n,kertas,paper,,,,,
dawat,n,dakwat,ink,,,,,
mangarang,,mengarang,"to write, compose",karang,,,,
karangan,n,karangan,composition,karang,,,,
papan itom tuilsan,n,papan hitam,blackboard,,,,,
kapur,n,kapur,chalk,,,,,
upis nu surat,n,pejabat pos,post office,,,,,
popoibit,,mengirim,"to send (letter, telegram)",ibit,,,,
