\lx,\ps,\gm,\ge,\cf,\rt,\sy,\sy,\z_manual_check
jaam panyadar,n,"jam loceng, weker",alarm clock,,,,,
jarum jaam,n,jarum jam,hour hand,,,longon jaam,,
longon jaam,n,jarum jam,hour hand,,,jarum jaam,,
mangunsi',,memutar (jam),to wind (watch),kunsi,,,,
mapasain,,mengakurkan (jam),to set (watch),sain,,,,
odou,n,hari,day,,,,,
minggu',n,minggu,week,,,,,
hari satu,n,Isnin,Monday,,,,,
hari dua,n,Selasa,Tuesday,,,,,
hari tiga,n,Rabu,Wednesday,,,,,
hari ampat,n,Khamis,Thursday,,,,,
hari lima,n,Jumaat,Friday,,,,,
hari anam,n,Sabtu,Saturday,,,,,
hari minggu,n,Ahad,Sunday,,,,,
bulan,n,bulan,month,,,,,
bulan Satu,n,Januari,January,,,,,
bulan Dua,n,Februari,February,,,,,
bulan Tiga,n,Mac,March,,,,,
bulan Ampat,n,April,April,,,,,
bulan Lima,n,Mei,May,,,,,
bulan Anam,n,Jun,June,,,,,
bulan Tuju,n,Julai,July,,,,,
bulan Lapan,n,Ogos,August,,,,,
bulan Sombilan,n,September,September,,,,,
bulan Sopuluh,n,Oktober,October,,,,,
bulan Sabalas,n,November,November,,,,,
bulan Duabalas,n,Disember,December,,,,,
taun,n,tahun,year,,,,,
taun tindak,n,tahun kabisat,leap year,,,,,
kira-kira' waktu diti,n,kira-kira waktu ini,approximately this time,,,,,
kira-kira' do tauri,n,kira-kira nanti,approximately then,,,,,
kira-kira songgian,n,kira-kira bila,approximately when?,,,,,
puun tataun,n,"pokok, pohon",tree,,,,,
batang/guas tataun,n,batang kayu,log,,,,,CHECK_LX
bakat,n,akar,root,,,,,
tuod,n,tunggul,stump,,,,,
puun tuod,n,batang pohon,trunk,,,,,
untu,n,pucuk,treetop,,,,,
kisimpang,n,bercabang dua,fork,simpang,,,,
simpang,n,cabang,bough,,,,,
daan,n,dahan,branch,,,,,
ranggas,n,ranting,twig,,,,,
kulit tataun,n,kulit kayu,bark,,,,,
daun,n,daun,leaf,,,,,
salingkawang,n,"paku, pakis",fern,,,,,
pulut,n,getah,sap,,,,,
salong,n,damar,resin,,,,,
talid,n,tunas,bud,,,,,
busak,n,kuntum,flower bud,,,,,
busak bunga',n,bunga,flower,,,,,
tanggayan,n,tangkai,"stalk, stem",tanggai,,,,
linsou,n,biji,seed (in fruit),,,,,
bibit,n,"bibit, benih",seed (for planting),,,,,
bua',n,buah,fruit,,,,,
kilinsou,n,buah berbiji,fruit with seed,linsou,,,,
bungkal,n,sabut,husk,,,,,
kulit bua',n,kulit buah,"rind, skin",,,,,
mato tataun,n,mata kayu,knot,,,,,
dui',n,duri,thorn,,,,,
ogod,n,miang,stinging hair (on leaves),,,,,
manangubus,n,bertunas,sprout,ubus,,,,
sumundu,,tumbuh,to grow,sundu,,,,
naansak,,masak,ripe,ansak,,,,
mamata',n,mentah,unripe,mata',,,,
masapou bua,n,lebat,laden with fruit,sapou,,,,
uraung,n,benang sari,stamen,,,,,
binat busak,n,"putik bunga, pistil",pistil,,,,,
puun gatah,n,pokok getah,rubber tree,,,,,
totoun aru',n,"pokok ru, cemara laut",casuarina tree,,,,,
guas nunuk,n,pokok beringin,banyan tree,,,,,
guas/puun kapuk,n,pokok kapok,kapok tree,,,,,CHECK_LX
guas rumbia,n,"pokok sagu, rumbia",sago palm,,,,,
puun pinang,n,pokok pinang,betel palm,,,,,
puun piasau,n,"pokok kelapa, nyiur",coconut palm,,,,,
puun/guas kabaung,n,pokok asam,tamarind tree,,,,,CHECK_LX
kadingau,n,pokok kayu manis,cinnamon tree,,,,,
puun mangga,n,pokok mangga,mango tree,,,,,
puun dalit,n,pokok durian,durian tree,,,,,
guas nunuk,n,pokok ara,fig tree,,,,,
guas kanari,n,pokok kenari,walnut tree,,,,,
guas balsa,n,pokok kayu balsa,balsa tree,,,,,
guas sandana,n,pokok cendana,sandalwood tree,,,,,
guas tataun basi',n,pokok kayu besi,ironwood tree,,,,,
guas tataun matoa,n,pokok kayu matoa,matoa tree,,,,,
guas kasukun,n,pokok sukun,breadfruit tree,,,,,
puun kapayas,n,pokok papaya/betik,papaya tree,,,,,
guas dudungu',n,pokok pisang,banana tree,,,,,
guas adpokat,n,pokok adpokat,avocado tree,,,,,
guas kurma,n,pokok kurma,date palm,,,ruma',,
ruma',n,pokok kurma,date palm,,,guas kurma,,
guas tongor,n,pokok bakau,mangrove tree,,,,,
puun pandan,n,pokok pandan,pandanus tree,,,,,
guas cangki,n,pokok cengkih,clove tree,,,,,
guas kina',n,pokok kina,cinchona tree,,,,,
guas tataun jati,n,pokok kayu jati,teak tree,,,,,
guas bua' susu,n,pokok kayu susu,milkwood tree,,,,,
guas kirai,n,pokok nipah,thatch palm,,,,,
guas saradang,n,pokok lontar,palmyra palm,,,,,
guas pala,n,pokok pala,nutmeg tree,,,,,
batang gula',n,"pokok enau, pokok aren, kabung",sugar palm,,,,,
udong alau,n,rambutan,rambutan,,,dangalau,,
